Feature,RandomForest,XGBoost,LightGBM,Mean
NDWI,0.02201706174053496,0.0062265,0.0791765873015873,0.035806716357576415
Elevation,0.024908039044517678,0.009791435,0.10762566137566137,0.04744171172089645
Aspect,0.027052723574880037,0.0123007735,0.10488756613756614,0.0480803544120647
Slope,0.024924258014463626,0.009528599,0.11149140211640211,0.04864808629300441
NDVI,0.01668709088827775,0.006126585,0.13109126984126984,0.051301648560127366
LST,0.06236063989788806,0.0199224,0.09676256613756613,0.05968186864295242
TWI,0.1483588797191731,0.044431612,0.16740079365079366,0.12006376175517601
Rainfall,0.22875926837214275,0.060715865,0.17658068783068784,0.15535194051554657
Soil,0.44493203874812215,0.8309562,0.024983465608465608,0.43362390832780623
